Key	Value
 BitsPerPixel	16
 DimensionOrder	XYCZT
 IsInterleaved	false
 IsRGB	false
 LittleEndian	true
 PixelType	uint16
Field 28 i_Image1 Image_eCoeff1	0.48
Field 28 i_Image1 Image_eOffset1	100.0
Field 29 Binning	1.0
Field 29 Capture_Depth	16.0
Field 29 Image_Depth	16.0
Field 29 Image_Height	2048.0
Field 29 Image_Width	2048.0
Field 29 Time_From_Last	0.03332599999999997
Field 29 Time_From_Start	0.93312
Field 29 i_Image1 Binning	1.0
Field 29 i_Image1 Capture_Depth	16.0
Field 29 i_Image1 Image_Depth	16.0
Field 29 i_Image1 Image_Exposure1	0.003021
Field 29 i_Image1 Image_Height	2048.0
Field 29 i_Image1 Image_Width	2048.0
Field 29 i_Image1 Image_eCoeff1	0.48
Field 29 i_Image1 Image_eOffset1	100.0
Field 3 Binning	1.0
Field 3 Capture_Depth	16.0
Field 3 Image_Depth	16.0
Field 3 Image_Height	2048.0
Field 3 Image_Width	2048.0
Field 3 Time_From_Last	0.033325
Field 3 Time_From_Start	0.066651
Field 3 i_Image1 Binning	1.0
Field 3 i_Image1 Capture_Depth	16.0
Field 3 i_Image1 Image_Depth	16.0
Field 3 i_Image1 Image_Exposure1	0.003021
Field 3 i_Image1 Image_Height	2048.0
Field 3 i_Image1 Image_Width	2048.0
Field 3 i_Image1 Image_eCoeff1	0.48
Field 3 i_Image1 Image_eOffset1	100.0
Field 30 Binning	1.0
Field 30 Capture_Depth	16.0
Field 30 Image_Depth	16.0
Field 30 Image_Height	2048.0
Field 30 Image_Width	2048.0
Field 30 Time_From_Last	0.03332600000000008
Field 30 Time_From_Start	0.966446
Field 30 i_Image1 Binning	1.0
Field 30 i_Image1 Capture_Depth	16.0
Field 30 i_Image1 Image_Depth	16.0
Field 30 i_Image1 Image_Exposure1	0.003021
Field 30 i_Image1 Image_Height	2048.0
Field 30 i_Image1 Image_Width	2048.0
Field 30 i_Image1 Image_eCoeff1	0.48
Field 30 i_Image1 Image_eOffset1	100.0
Field 31 Binning	1.0
Field 31 Capture_Depth	16.0
Field 31 Image_Depth	16.0
Field 31 Image_Height	2048.0
Field 31 Image_Width	2048.0
Field 31 Time_From_Last	0.03332499999999994
Field 31 Time_From_Start	0.999771
Field 31 i_Image1 Binning	1.0
Field 31 i_Image1 Capture_Depth	16.0
Field 31 i_Image1 Image_Depth	16.0
Field 31 i_Image1 Image_Exposure1	0.003021
Field 31 i_Image1 Image_Height	2048.0
Field 31 i_Image1 Image_Width	2048.0
Field 31 i_Image1 Image_eCoeff1	0.48
Field 31 i_Image1 Image_eOffset1	100.0
Field 32 Binning	1.0
Field 32 Capture_Depth	16.0
Field 32 Image_Depth	16.0
Field 32 Image_Height	2048.0
Field 32 Image_Width	2048.0
Field 32 Time_From_Last	0.03332599999999997
Field 32 Time_From_Start	1.033097
Field 32 i_Image1 Binning	1.0
Field 32 i_Image1 Capture_Depth	16.0
Field 32 i_Image1 Image_Depth	16.0
Field 32 i_Image1 Image_Exposure1	0.003021
Field 32 i_Image1 Image_Height	2048.0
Field 32 i_Image1 Image_Width	2048.0
Field 32 i_Image1 Image_eCoeff1	0.48
Field 32 i_Image1 Image_eOffset1	100.0
Field 33 Binning	1.0
Field 33 Capture_Depth	16.0
Field 33 Image_Depth	16.0
Field 33 Image_Height	2048.0
Field 33 Image_Width	2048.0
Field 33 Time_From_Last	0.03332599999999997
Field 33 Time_From_Start	1.066423
Field 33 i_Image1 Binning	1.0
Field 33 i_Image1 Capture_Depth	16.0
Field 33 i_Image1 Image_Depth	16.0
Field 33 i_Image1 Image_Exposure1	0.003021
Field 33 i_Image1 Image_Height	2048.0
Field 33 i_Image1 Image_Width	2048.0
Field 33 i_Image1 Image_eCoeff1	0.48
Field 33 i_Image1 Image_eOffset1	100.0
Field 34 Binning	1.0
Field 34 Capture_Depth	16.0
Field 34 Image_Depth	16.0
Field 34 Image_Height	2048.0
Field 34 Image_Width	2048.0
Field 34 Time_From_Last	0.03332500000000005
Field 34 Time_From_Start	1.099748
Field 34 i_Image1 Binning	1.0
Field 34 i_Image1 Capture_Depth	16.0
Field 34 i_Image1 Image_Depth	16.0
Field 34 i_Image1 Image_Exposure1	0.003021
Field 34 i_Image1 Image_Height	2048.0
Field 34 i_Image1 Image_Width	2048.0
Field 34 i_Image1 Image_eCoeff1	0.48
Field 34 i_Image1 Image_eOffset1	100.0
Field 35 Binning	1.0
Field 35 Capture_Depth	16.0
Field 35 Image_Depth	16.0
Field 35 Image_Height	2048.0
Field 35 Image_Width	2048.0
Field 35 Time_From_Last	0.03332599999999997
Field 35 Time_From_Start	1.133074
Field 35 i_Image1 Binning	1.0
Field 35 i_Image1 Capture_Depth	16.0
Field 35 i_Image1 Image_Depth	16.0
Field 35 i_Image1 Image_Exposure1	0.003021
Field 35 i_Image1 Image_Height	2048.0
Field 35 i_Image1 Image_Width	2048.0
Field 35 i_Image1 Image_eCoeff1	0.48
Field 35 i_Image1 Image_eOffset1	100.0
Field 36 Binning	1.0
Field 36 Capture_Depth	16.0
Field 36 Image_Depth	16.0
Field 36 Image_Height	2048.0
Field 36 Image_Width	2048.0
Field 36 Time_From_Last	0.03332599999999997
Field 36 Time_From_Start	1.1663999999999999
Field 36 i_Image1 Binning	1.0
Field 36 i_Image1 Capture_Depth	16.0
Field 36 i_Image1 Image_Depth	16.0
Field 36 i_Image1 Image_Exposure1	0.003021
Field 36 i_Image1 Image_Height	2048.0
Field 36 i_Image1 Image_Width	2048.0
Field 36 i_Image1 Image_eCoeff1	0.48
Field 36 i_Image1 Image_eOffset1	100.0
Field 37 Binning	1.0
Field 37 Capture_Depth	16.0
Field 37 Image_Depth	16.0
Field 37 Image_Height	2048.0
Field 37 Image_Width	2048.0
Field 37 Time_From_Last	0.03332600000000019
Field 37 Time_From_Start	1.199726
Field 37 i_Image1 Binning	1.0
Field 37 i_Image1 Capture_Depth	16.0
Field 37 i_Image1 Image_Depth	16.0
Field 37 i_Image1 Image_Exposure1	0.003021
Field 37 i_Image1 Image_Height	2048.0
Field 37 i_Image1 Image_Width	2048.0
Field 37 i_Image1 Image_eCoeff1	0.48
Field 37 i_Image1 Image_eOffset1	100.0
Field 38 Binning	1.0
Field 38 Capture_Depth	16.0
Field 38 Image_Depth	16.0
Field 38 Image_Height	2048.0
Field 38 Image_Width	2048.0
Field 38 Time_From_Last	0.03332499999999983
Field 38 Time_From_Start	1.233051
Field 38 i_Image1 Binning	1.0
Field 38 i_Image1 Capture_Depth	16.0
Field 38 i_Image1 Image_Depth	16.0
Field 38 i_Image1 Image_Exposure1	0.003021
Field 38 i_Image1 Image_Height	2048.0
