"FDGlcNAC MUTANT 10msec 0.025oil 0.0052 drops, sort on >40000 gate"
# Time of snapshot: 2021-08-25T16:04:32Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 50000
" Wavelength [nm], Intensity [RFU]"
"515.6967479345718, 3012.1827777777776"
"473.23141713137244, 1327.6905555555554"
"515.6967479345718, 2728.197777777778"
"474.1029051658645, 2206.345"
"516.1275347159767, 8628.775000000001"
"515.6967479345718, 4640.84888888889"
"515.6967479345718, 3065.5816666666665"
"519.1415891193901, 1002.4427777777778"
"516.1275347159767, 7776.8200000000015"
"516.5582696431964, 10441.91"
"516.9889526957089, 7121.469999999999"
"515.6967479345718, 3432.092222222222"
"516.9889526957089, 2007.3127777777781"
"515.6967479345718, 2014.5944444444444"
"515.6967479345718, 4757.355555555556"
"516.9889526957089, 907.7811111111114"
"472.35972980689826, 4267.056666666667"
"515.6967479345718, 6672.433888888889"
"515.6967479345718, 2706.3527777777776"
"516.1275347159767, 4405.408333333333"
"515.6967479345718, 1997.6038888888893"
